RPeakCount,MaxRAmplitude,SpectralEnergy,TotalPSD,DominantFrequency,WaveletEnergy,ShannonEntropy,SignalSTD,BeatType,RhythmClass
1,1,8015.647459,8914.329749,3,643.9783292,5.411386059,0.117765389,0,0
1,1,6499.297088,7547.136978,3,742.8744381,5.278444596,0.127163666,0,0
1,1,6649.298807,7621.7523,3,712.5187006,5.448724072,0.122503947,0,0
1,1,5973.728554,7154.957592,3,820.1343844,5.489604694,0.135014375,0,0
1,1,9569.045098,10563.94257,4,823.4376842,5.750916413,0.123910293,0,0
1,1,7578.374289,8611.51361,5,801.9139027,5.294146501,0.126267605,0,0
1,1,11074.11593,11934.21595,6,706.0503332,5.480995614,0.115209287,0,0
1,1,6035.426046,7093.61063,3,732.5906224,5.264530061,0.127789041,0,0
1,1,10427.64172,11391.70839,3,706.5986839,5.538930116,0.121973654,0,0
1,1,5139.952194,6201.611388,3,739.4744853,5.203367032,0.127998951,0,0
1,1,11447.07289,12367.99345,3,737.3174765,5.504993281,0.119213451,0,0
1,1,5970.205967,7149.004915,3,904.9922918,5.316091004,0.134875794,0,0
1,1,7078.563964,8267.07673,3,952.3738423,5.495158824,0.135431469,0,0
1,1,7117.827448,8080.625747,4,728.9618567,5.402947895,0.121894529,0,0
1,1,6889.833113,8050.036095,3,847.3619904,5.29528302,0.133808528,0,0
1,1,7485.803323,8443.162505,2,682.1547805,5.342438618,0.121550267,0,0
1,1,8688.952291,9917.884519,4,830.8031166,6.077547208,0.137713899,0,0
1,1,6805.311802,7713.028692,6,670.5497082,5.273120252,0.118355436,0,0
1,1,9034.725166,10253.20293,3,820.5486254,5.760957887,0.137126475,0,0
1,1,6230.993153,7294.867162,1,674.254233,5.505031027,0.128132282,0,0
1,1,8452.864536,9408.785147,6,778.4789974,5.44915244,0.12145856,0,0
1,1,3819.20855,4947.1363,3,797.4966783,5.372373388,0.131933214,0,0
1,1,9371.068538,10475.95922,3,822.2558329,5.476958547,0.130579083,0,0
1,1,4143.16471,5235.692697,3,762.5345965,5.278266344,0.129847607,0,0
1,1,8231.873927,9234.336207,3,732.5320905,5.65058581,0.124380966,0,0
1,1,5528.325661,6650.156638,3,831.8411308,5.301702351,0.131576603,0,0
1,1,6206.645421,7346.745312,3,827.573691,5.400962735,0.132643969,0,0
1,1,4620.334818,5805.41588,3,868.7941771,5.412285826,0.135235464,0,0
1,1,9008.009614,10008.55455,6,722.5501385,5.392271682,0.124259846,0,0
1,1,8603.614043,9575.968104,3,711.3180621,5.366102662,0.122496797,0,0
1,1,6029.709924,7027.512988,3,698.9279484,5.330155367,0.124089748,0,0
1,1,7436.43667,8502.021807,2,819.4992978,5.310409813,0.128236243,0,0
1,1,6022.920232,7144.975405,3,800.8595626,5.214537196,0.131591253,0,0
1,1,9120.461229,10146.30679,3,772.2575854,5.475219106,0.125822041,0,0
1,1,9579.300002,10649.01309,4,883.5728732,5.490257707,0.128483947,0,0
1,1,5168.252581,6184.56559,3,711.0930842,5.336521169,0.125235933,0,0
1,1,8193.263158,9234.772592,3,779.5576555,5.469466518,0.126780908,0,0
1,1,7577.480824,8720.893823,2,859.6367704,5.335514728,0.132836584,0,0
1,1,5038.88702,6167.238096,3,828.9027906,5.263674283,0.131958343,0,0
1,1,4644.091623,5783.96338,4,815.7101217,5.274383281,0.132630311,0,0
1,1,8160.155052,9075.623691,4,707.1495459,5.384157177,0.118860301,0,0
3,1,59710.68399,61759.30466,2,687.5631934,6.017658588,0.177804756,9,2
1,1,14530.60762,17591.07149,2,1165.289714,5.69733803,0.217323293,9,2
1,1,13603.24071,14631.87229,6,810.4257332,6.072122326,0.125993186,0,0
1,1,7049.158436,8168.342813,3,766.7030475,5.527461606,0.131422187,0,0
1,1,7645.009926,8763.125185,4,765.0586628,5.464029135,0.131357813,0,0
1,1,12939.76896,13969.35917,2,910.1946063,5.653900516,0.126050543,0,0
1,1,4689.048129,5836.655421,3,823.542535,5.283746913,0.133078925,0,0
1,1,8448.65577,9387.262186,4,720.6462873,5.583216793,0.120353403,0,0
1,1,8634.040658,9660.96043,3,765.6964239,5.535209005,0.125887266,0,0
1,1,5692.219503,6896.304629,3,908.3781805,5.321208852,0.136314343,0,0
1,1,9424.365368,10482.44603,3,793.6149745,5.541596532,0.127782921,0,0
1,1,9951.080178,10965.33109,4,785.9793999,5.537078745,0.125108071,0,0
1,1,5311.817957,6431.741413,3,836.6413944,5.41467252,0.131463979,0,0
1,1,5157.300674,6542.892553,3,1078.119547,5.520124305,0.146227921,0,0
1,1,9424.154539,10394.47484,3,740.8062997,5.512110185,0.122368633,0,0
1,1,6136.90199,7200.554987,3,808.5144865,5.374144067,0.128118689,0,0
1,1,5157.582941,6383.688704,3,898.4973031,5.571020508,0.137556098,0,0
1,1,4896.297037,5911.872261,3,724.6404859,5.840996781,0.125192715,0,0
1,1,6024.528606,7461.126261,3,1061.073295,5.839081651,0.148894988,0,0
1,1,10794.14821,11841.72393,3,856.065348,5.637326181,0.127148476,0,0
1,1,7097.394183,8101.144399,4,764.7560029,5.534293383,0.124460372,0,0
1,1,6118.903891,7309.099339,3,871.1200935,5.733648394,0.135526292,0,0
1,1,5488.464465,6634.656242,3,827.2029898,5.867049794,0.132997342,0,0
1,1,10148.50822,11358.43306,3,809.8630059,6.103895632,0.136644375,0,0
1,1,10426.54579,11496.12835,7,814.1079331,6.077052483,0.128475762,0,0
