RPeakCount,SpectralEnergy,TotalPSD,WaveletEnergy,ShannonEntropy,SignalSTD,BeatType
1,8015.647459,8914.329749,643.9783292,5.411386059,0.117765389,0
1,6499.297088,7547.136978,742.8744381,5.278444596,0.127163666,0
1,6649.298807,7621.7523,712.5187006,5.448724072,0.122503947,0
1,5973.728554,7154.957592,820.1343844,5.489604694,0.135014375,0
1,9569.045098,10563.94257,823.4376842,5.750916413,0.123910293,0
1,7578.374289,8611.51361,801.9139027,5.294146501,0.126267605,0
1,11074.11593,11934.21595,706.0503332,5.480995614,0.115209287,0
1,6035.426046,7093.61063,732.5906224,5.264530061,0.127789041,0
1,10427.64172,11391.70839,706.5986839,5.538930116,0.121973654,0
1,5139.952194,6201.611388,739.4744853,5.203367032,0.127998951,0
1,11447.07289,12367.99345,737.3174765,5.504993281,0.119213451,0
1,5970.205967,7149.004915,904.9922918,5.316091004,0.134875794,0
1,7078.563964,8267.07673,952.3738423,5.495158824,0.135431469,0
1,7117.827448,8080.625747,728.9618567,5.402947895,0.121894529,0
1,6889.833113,8050.036095,847.3619904,5.29528302,0.133808528,0
1,7485.803323,8443.162505,682.1547805,5.342438618,0.121550267,0
1,8688.952291,9917.884519,830.8031166,6.077547208,0.137713899,0
1,6805.311802,7713.028692,670.5497082,5.273120252,0.118355436,0
1,9034.725166,10253.20293,820.5486254,5.760957887,0.137126475,0
1,6230.993153,7294.867162,674.254233,5.505031027,0.128132282,0
1,8452.864536,9408.785147,778.4789974,5.44915244,0.12145856,0
1,3819.20855,4947.1363,797.4966783,5.372373388,0.131933214,0
1,9371.068538,10475.95922,822.2558329,5.476958547,0.130579083,0
1,4143.16471,5235.692697,762.5345965,5.278266344,0.129847607,0
1,8231.873927,9234.336207,732.5320905,5.65058581,0.124380966,0
1,5528.325661,6650.156638,831.8411308,5.301702351,0.131576603,0
1,6206.645421,7346.745312,827.573691,5.400962735,0.132643969,0
1,4620.334818,5805.41588,868.7941771,5.412285826,0.135235464,0
1,9008.009614,10008.55455,722.5501385,5.392271682,0.124259846,0
1,8603.614043,9575.968104,711.3180621,5.366102662,0.122496797,0
1,6029.709924,7027.512988,698.9279484,5.330155367,0.124089748,0
1,7436.43667,8502.021807,819.4992978,5.310409813,0.128236243,0
1,6022.920232,7144.975405,800.8595626,5.214537196,0.131591253,0
1,9120.461229,10146.30679,772.2575854,5.475219106,0.125822041,0
1,9579.300002,10649.01309,883.5728732,5.490257707,0.128483947,0
1,5168.252581,6184.56559,711.0930842,5.336521169,0.125235933,0
1,8193.263158,9234.772592,779.5576555,5.469466518,0.126780908,0
1,7577.480824,8720.893823,859.6367704,5.335514728,0.132836584,0
1,5038.88702,6167.238096,828.9027906,5.263674283,0.131958343,0
1,4644.091623,5783.96338,815.7101217,5.274383281,0.132630311,0
1,8160.155052,9075.623691,707.1495459,5.384157177,0.118860301,0
1,13603.24071,14631.87229,810.4257332,6.072122326,0.125993186,0
1,7049.158436,8168.342813,766.7030475,5.527461606,0.131422187,0
1,7645.009926,8763.125185,765.0586628,5.464029135,0.131357813,0
1,12939.76896,13969.35917,910.1946063,5.653900516,0.126050543,0
1,4689.048129,5836.655421,823.542535,5.283746913,0.133078925,0
1,8448.65577,9387.262186,720.6462873,5.583216793,0.120353403,0
1,6055.805194,7198.643491,806.9226387,5.676673681,0.13280455,5
1,6142.729632,7093.852097,569.7631899,5.74163029,0.121152177,5
1,7622.351848,8778.118657,809.2895003,5.607372141,0.133552226,5
1,8569.001597,10140.52351,1155.127046,5.478781906,0.155730339,11
1,16549.68181,17604.48364,665.8594186,5.803602129,0.127586819,5
1,10500.05715,11581.14571,707.7157364,5.415383224,0.129164783,5
1,4806.578408,6517.922695,805.6245923,5.331805052,0.162510784,5
1,6667.724682,7773.386118,741.9550533,5.309542944,0.130624441,5
1,13990.88923,15072.7014,783.2047262,5.682675106,0.129208545,5
1,8013.359829,9152.928451,859.8949685,5.496046785,0.132612605,5
1,14376.41775,15328.701,745.1298009,5.558566899,0.121225957,5
1,13392.83894,14266.23452,659.6732728,5.601099643,0.116097317,5
1,20274.08161,21592.33085,797.2760249,5.902810296,0.142641122,11
1,25346.09779,27595.51426,919.8194305,6.451979041,0.18631739,11
1,27019.34785,29153.09264,1514.361852,5.749373698,0.181466947,11
1,2584.397845,4107.840331,968.5836023,5.291399497,0.153330198,0
1,2978.830735,4473.280323,988.0049725,5.346497033,0.151863452,0
1,2627.892152,4075.699047,931.4845116,5.285701649,0.149474842,0
1,2727.625315,4288.763805,1049.09833,5.333660923,0.155214852,0
1,2984.678422,4650.788874,1077.5556,5.376350805,0.160349006,0
1,3281.245353,4834.830139,1005.301426,5.368565062,0.154839165,0
1,2791.843362,4335.072845,1047.914033,5.380016401,0.154322378,0
1,3042.653801,4621.172963,999.3874382,5.333877191,0.156076486,0
1,2964.769556,4454.638898,951.1663614,5.350583411,0.151630515,0
1,3355.165453,4968.72802,1007.953852,5.345726682,0.157799849,0
1,3010.123053,4570.599567,982.7800456,5.324760211,0.155182043,0
1,2782.313427,4319.804176,989.349164,5.276009677,0.154034776,0
1,3102.39543,4655.679327,958.6106939,5.330928696,0.154824312,0
1,2726.437831,4199.807429,938.3160647,5.284104938,0.150788833,0
1,2983.407192,4556.81343,1003.296069,5.332635039,0.155824019,0
1,2778.320853,4340.875384,1011.967047,5.338859281,0.155285293,0
1,3056.858488,4683.258744,1015.402519,5.345984735,0.158425915,0
1,2733.89815,4352.602439,1070.820044,5.346060089,0.158050756,0
1,2681.273105,4148.842725,940.2909368,5.308685451,0.150491635,0
1,3059.694845,4639.373693,1012.150045,5.342093793,0.156135225,0
1,3049.023296,4604.233526,1065.65492,5.369767669,0.154919858,0
1,3001.989427,4544.734609,995.4964351,5.332912603,0.154299285,0
1,2746.602671,4257.949553,1004.962931,5.356051401,0.152719568,0
1,2862.308664,4337.321697,968.7218518,5.310278214,0.150872781,0
1,2729.897285,4336.358716,1026.085204,5.315624189,0.157452077,0
1,2597.088556,4112.207809,1032.564244,5.283936785,0.152910182,0
1,3015.517134,4594.829507,1052.656497,5.324668648,0.156116245,0
1,2805.069804,4279.190549,941.9181373,5.280790163,0.150827257,0
1,2684.982366,4229.780642,1002.428672,5.305962519,0.15440059,0
